,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
0,2022-12-31 16:00:00,24.805,89.74451,23.005001,29.614338,0.0,0.0,2.0,1013.9,1008.45386,53.4,1.0,39.0,97.0,0.0,0.32088065,4.73506,9.114471,81.25392,99.090195,8.28,26.655,28.455,28.055,28.405,0.43,0.461,0.484,0.497
1,2022-12-31 17:00:00,24.155,90.79391,22.555,28.650848,0.0,0.0,1.0,1013.4,1007.9446,48.0,2.0,27.0,100.0,0.0,0.27708793,5.0911684,10.464798,81.86999,93.945114,7.2,26.155,28.305,28.055,28.405,0.43,0.46,0.484,0.497
2,2022-12-31 18:00:00,23.755001,92.158875,22.405,28.409657,0.0,0.0,1.0,1012.6,1007.14154,32.100002,1.0,4.0,96.0,0.0,0.23041272,3.4152596,9.659814,71.564964,63.435013,7.2,25.805,28.155,28.055,28.405,0.431,0.46,0.484,0.497
3,2022-12-31 19:00:00,23.705,89.66402,21.905,28.197155,0.0,0.0,1.0,1012.0,1006.5438,37.800003,4.0,8.0,98.0,0.0,0.3028283,2.5959969,5.4833565,123.690094,66.801384,4.68,25.455,28.005001,28.055,28.405,0.431,0.46,0.484,0.497
4,2022-12-31 20:00:00,23.305,91.015335,21.755001,27.443651,0.0,0.0,1.0,1012.0,1006.53656,37.2,8.0,1.0,98.0,0.0,0.2569778,4.452954,7.42159,104.03627,75.96373,5.04,25.155,27.855,28.055,28.405,0.432,0.46,0.484,0.497
5,2022-12-31 21:00:00,23.105,89.89477,21.355,26.820107,0.0,0.0,1.0,1011.5,1006.03546,34.5,5.0,0.0,100.0,0.0,0.28557396,5.8603754,10.495713,79.380394,67.83361,7.5599995,24.905,27.705,28.055,28.405,0.432,0.459,0.484,0.497
6,2022-12-31 22:00:00,22.655,91.81443,21.255001,26.457247,0.0,0.0,1.0,1011.7,1006.22626,35.100002,3.0,4.0,100.0,0.0,0.22511578,4.8965297,10.195057,53.972538,47.862484,8.28,24.605,27.555,28.055,28.405,0.432,0.459,0.483,0.497
7,2022-12-31 23:00:00,22.605,93.22904,21.455,26.78091,0.0,0.0,1.0,1012.1,1006.6231,35.7,5.0,2.0,100.0,0.0,0.1856451,3.0758414,5.0911684,69.44387,44.999897,6.4799995,24.455,27.405,28.055,28.405,0.433,0.459,0.483,0.497
8,2023-01-01 00:00:00,23.405,87.740906,21.255001,27.256447,0.0,0.0,1.0,1012.8,1007.33417,30.000002,0.0,0.0,100.0,0.023348851,0.35276985,4.5536795,3.5455887,71.564964,23.962492,6.8399997,25.755001,27.305,28.055,28.405,0.434,0.459,0.483,0.497
9,2023-01-01 01:00:00,24.905,81.676285,21.555,29.199127,0.0,0.0,1.0,1013.7,1008.2566,30.000002,0.0,0.0,100.0,0.095724344,0.57683396,2.6208394,1.835647,105.945465,101.3099,8.64,26.155,27.255001,28.055,28.405,0.434,0.458,0.483,0.497
10,2023-01-01 02:00:00,26.455,74.501236,21.555,30.604347,0.0,0.0,1.0,1014.4,1008.98096,30.000002,0.0,0.0,100.0,0.23379898,0.8798561,3.6,4.39436,126.86999,124.992096,10.799999,27.305,27.255001,28.055,28.405,0.432,0.458,0.483,0.497
11,2023-01-01 03:00:00,27.655,67.9594,21.205,31.583267,0.0,0.0,1.0,1014.1,1008.70404,30.000002,0.0,0.0,100.0,0.3984916,1.1861653,4.3349743,5.1165614,131.63345,129.28938,13.32,28.905,27.305,28.055,28.405,0.427,0.458,0.483,0.497
12,2023-01-01 04:00:00,28.955,62.04912,20.955,34.212875,0.0,0.0,1.0,1013.3,1007.93134,30.000002,0.0,0.0,100.0,0.5819225,1.5151336,5.0911684,6.1094027,135.0001,135.0001,15.119999,30.655,27.455,28.055,28.405,0.42,0.458,0.483,0.497
13,2023-01-01 05:00:00,29.755001,59.066723,20.905,35.53429,0.0,0.0,1.0,1012.3,1006.95087,30.000002,0.0,0.0,100.0,0.6509231,1.7112727,4.8965297,5.8603754,143.97253,137.4896,15.4800005,32.105,27.705,28.055,28.405,0.412,0.457,0.483,0.497
